state,month,death,positive,recovered
Virginia,April,235.07,7462.9,1467.18
Virginia,May,989.84,29851.97,3993.81
Virginia,June,1568.53,54810.5,7172.03
Virginia,July,1988.42,75187.81,9853.1
Virginia,August,2392.81,106140.32,13657.55
Virginia,September,2882.77,135660.33,16469.8
Virginia,October,3433.77,164054.1,18858.68
Virginia,November,3736.67,194473.33,21533.11
Vermont,March,7.83,83.58,15
Vermont,April,32.67,727.47,15
Vermont,May,53.32,937.97,808.96
Vermont,June,55.43,1118.33,912.7
Vermont,July,56.06,1322.71,1103.65
Vermont,August,57.84,1512.29,1327.87
Vermont,September,58,1692.57,1517.47
Vermont,October,58,1937.9,1688.9
Vermont,November,58.72,2561,1946.5
Washington,February,3.25,0.62,0
Washington,March,94.1,2305.71,0
Washington,April,553.97,11684.2,0
Washington,May,975.45,19331.55,0
Washington,June,1219,28875.87,0
Washington,July,1433.55,48346.48,0
Washington,August,1758.77,68225.68,0
Washington,September,2017.3,80637.73,0
Washington,October,2234.48,96476.03,0
Washington,November,2460.06,118759.11,0
Wisconsin,March,8.75,370.07,0
Wisconsin,April,177.43,4691.13,3352
Wisconsin,May,449,14078.58,6855.74
Wisconsin,June,701.77,25948.5,17120.43
Wisconsin,July,850.06,43693.42,31387.74
Wisconsin,August,1045.45,69785.97,55614.58
Wisconsin,September,1228.93,100968.5,81680
Wisconsin,October,1622.55,177471.87,133038.06
Wisconsin,November,2488.56,293204.56,214254.28
West Virginia,March,0.12,28.15,0
West Virginia,April,16.27,699.1,298.38
West Virginia,May,62.32,1516,909.23
West Virginia,June,86.87,2383.47,1654.23
West Virginia,July,99.87,4677.52,3298.77
West Virginia,August,160.19,8468.45,6469.35
West Virginia,September,285.93,13149.87,9705.43
West Virginia,October,397.58,19646.35,14621.52
West Virginia,November,529.28,29713.78,21536.5
Wyoming,March,0,28.48,17.71
Wyoming,April,2.73,370.87,178.93
Wyoming,May,9.55,735.65,500.77
Wyoming,June,18.5,1123.8,865.37
Wyoming,July,22.87,2063.9,1553.06
Wyoming,August,32,3301.9,2685.29
Wyoming,September,45.83,4668.53,3923.93
Wyoming,October,62.13,9007.68,6552.87
Wyoming,November,120.28,18834.22,11004.94
