state,month,death,positive,recovered
ID,8,270.0,26851.41935483871,10731.258064516129
ID,9,419.7,36172.96666666667,18761.8
ID,10,528.741935483871,51663.22580645161,25480.967741935485
ID,11,702.5555555555555,74084.66666666667,32856.72222222222
IL,3,27.8,1177.2142857142858,
IL,4,1080.3333333333333,26743.9,
IL,5,4017.1290322580644,90883.16129032258,
IL,6,6475.7,133793.8,
IL,7,7435.967741935484,160373.7741935484,
IL,8,7967.290322580645,208223.96774193548,
IL,9,8590.466666666667,267929.5,
IL,10,9439.612903225807,344874.2580645161,
IL,11,10681.277777777777,509288.77777777775,
IN,2,,,
IN,3,13.333333333333334,386.65384615384613,
IN,4,477.56666666666666,9653.266666666666,
IN,5,1700.483870967742,27040.8064516129,21704.0
IN,6,2435.633333333333,40361.63333333333,28880.1
IN,7,2801.7419354838707,54924.77419354839,40182.032258064515
IN,8,3134.7419354838707,80269.48387096774,59521.1935483871
IN,9,3463.866666666667,107470.86666666667,83847.83333333333
IN,10,3926.9032258064517,145561.61290322582,106957.6129032258
IN,11,4700.666666666667,220534.77777777778,137329.33333333334
KS,3,2.9444444444444446,89.1923076923077,
KS,4,73.26666666666667,1816.7,269.0
KS,5,169.41935483870967,7636.4838709677415,422.06451612903226
KS,6,245.76666666666668,11678.433333333332,681.3
KS,7,301.80645161290323,21115.612903225807,971.7741935483871
KS,8,402.64516129032256,34517.645161290326,1419.0645161290322
KS,9,553.8666666666667,50783.46666666667,1900.8333333333333
KS,10,848.741935483871,70831.09677419355,2371.516129032258
KS,11,1178.388888888889,104839.83333333333,2856.777777777778
KY,3,3.888888888888889,108.42307692307692,
KY,4,121.46666666666667,2350.5666666666666,1079.5714285714287
KY,5,335.80645161290323,7286.870967741936,2598.967741935484
KY,6,505.8333333333333,12804.233333333334,3493.8
KY,7,650.1612903225806,21889.548387096773,6069.8387096774195
KY,8,826.3870967741935,39297.51612903226,9153.870967741936
KY,9,1072.0,58697.166666666664,11086.633333333333
KY,10,1315.4516129032259,86336.06451612903,15634.612903225807
KY,11,1590.7222222222222,125146.83333333333,22209.277777777777
LA,3,66.41176470588235,1138.04,
LA,4,1080.0,20838.666666666668,15983.0
LA,5,2438.7419354838707,34140.096774193546,23774.83870967742
LA,6,3035.8333333333335,47754.46666666667,36051.23333333333
LA,7,3525.935483870968,86875.67741935483,53273.096774193546
LA,8,4487.129032258064,136302.67741935485,104499.90322580645
LA,9,5264.7,159264.46666666667,142421.83333333334
LA,10,5723.290322580645,177578.5483870968,161101.38709677418
LA,11,6053.5,196373.5,173676.88888888888
MA,1,,,
MA,2,,,
MA,3,46.5,1607.7,
MA,4,1668.2,32935.53333333333,
